item_id,type_id,item_name,size,description,weight,volume,sort,tax,tax_price,price,discount,icon,brand,icon,expire_time,amount
1,3,贝拉米三段 （3罐）Bellamy’s Step3,900g,。贝拉米有机农场位于澳大利亚的一个美丽的小岛——塔斯马尼亚岛上，占地30000亩。整个农场由澳大利亚有机认证机构NASAA监控，所有奶牛均不可人工喂养饲料，整个农场的牧草均不可用杀虫剂，也不可以用化肥，奶牛也不可以使用任何药物包括抗生素，而制造奶粉的机械有特殊要求，由于NASAA有机认证的要求如此之高，包括澳大利亚及新西兰只有贝拉米奶粉拿到有机奶粉证书。,900,100,1,NULL,85.7,85.7,1,http://52.63.10.86:8080/image/Bellamys_3_3.jpg,Bellamy,http://52.63.10.86:8080/image/Bellamys_3_3.jpg,15-05-16,711
2,4,Swisse 蔓越莓 30粒 Swisse Cranberry,30粒,,78,100,1,1.2,9.7,10.2,1,http://52.63.10.86:8080/image/Swisse_Cranberry.jpg,Swisse,http://52.63.10.86:8080/image/Swisse_Cranberry.jpg,15-05-16,9032
3,5,Blackmores 维骨力 180粒 Blackmores Glucosamine Sulfate 1500mg Capsules,180粒,,464,100,1,2.8,26,27,1,http://52.63.10.86:8080/image/Blackmores_Glucosamine_Sulfate.jpg,Blackmores,http://52.63.10.86:8080/image/Blackmores_Glucosamine_Sulfate.jpg,15-05-16,1584
4,3,爱他美黄金三段 （3罐）Aptamil Gold Step3,900g,。爱他美奶粉，14种矿物质，维生素 金盾配方，益生元组合 改善肠道健康 DHA、牛磺酸、阿尔法—亚麻酸 亚油酸 促进视力、大脑、神经发育。 多种营养帮助宝宝成长，发育。,900,100,1,NULL,59,59,1,http://52.63.10.86:8080/image/Aptamil_Gold_3_3.jpg,Aptamil,http://52.63.10.86:8080/image/Aptamil_Gold_3_3.jpg,15-05-16,147
6,3,A2 一段（3罐）A2 step1,900g,,900,100,1,NULL,74,74,0,http://52.63.10.86:8080/image/A2_1_3.jpg,A2,http://52.63.10.86:8080/image/A2_1_3.jpg,0,89
8,3,A2 二段 （3罐） A2 step2,900g,,900,100,1,0,74,74,0,http://52.63.10.86:8080/image/A2_2_3.jpg,A4,http://52.63.10.86:8080/image/A2_2_3.jpg,0,162
9,3,A2 三段 （3罐） A2 step3,900g,,900,100,1,NULL,81,81,0,http://52.63.10.86:8080/image/A2_3_3.jpg,A2,http://52.63.10.86:8080/image/A2_3_3.jpg,0,698
11,3,爱他美黄金一段 （3罐）Aptamil Gold Step1,900g,,900,100,1,0,71,71,0,http://52.63.10.86:8080/image/Aptamil_Gold_1_3.jpg,Aptamil,http://52.63.10.86:8080/image/Aptamil_Gold_1_3.jpg,0,47
13,3,爱他美黄金二段 （3罐）Aptamil Gold Step2,900g,,900,100,1,0,71,71,0,http://52.63.10.86:8080/image/Aptamil_Gold_2_3.jpg,Aptamil,http://52.63.10.86:8080/image/Aptamil_Gold_2_3.jpg,0,59
14,3,爱他美黄金四段 （3罐）Aptamil Gold Step4,900g,,900,100,1,NULL,59,59,0,http://52.63.10.86:8080/image/Aptamil_Gold_4_3.jpg,Aptamil,http://52.63.10.86:8080/image/Aptamil_Gold_4_3.jpg,0,100
16,3,爱他美白金一段 （3罐）Aptamil Profutura Step1,900g,,900,100,1,0,91,91,0,http://52.63.10.86:8080/image/Aptamil_Profutura_1_3.jpg,Aptamil,http://52.63.10.86:8080/image/Aptamil_Profutura_1_3.jpg,0,46
18,3,爱他美白金二段 （3罐）Aptamil Profutura Step2,900g,,900,100,1,0,91,91,0,http://52.63.10.86:8080/image/Aptamil_Profutura_2_3.jpg,Aptamil,http://52.63.10.86:8080/image/Aptamil_Profutura_2_3.jpg,0,48
19,3,爱他美白金三段 （3罐）Aptamil Profutura Step3,900g,,900,100,1,NULL,75,75,0,http://52.63.10.86:8080/image/Aptamil_Profutura_3_3.jpg,Aptamil,http://52.63.10.86:8080/image/Aptamil_Profutura_3_3.jpg,0,90
20,3,爱他美白金四段 （3罐）Aptamil Profutura Step4,900g,,900,100,1,NULL,75,75,0,http://52.63.10.86:8080/image/Aptamil_Profutura_4_3.jpg,Aptamil,http://52.63.10.86:8080/image/Aptamil_Profutura_4_3.jpg,0,20
22,3,贝拉米一段 （3罐）Bellamy’s Step1,900g,,900,100,1,0,89,89,0,http://52.63.10.86:8080/image/Bellamys_1_3.jpg,Bellamy,http://52.63.10.86:8080/image/Bellamys_1_3.jpg,0,44
24,3,贝拉米二段 （3罐）Bellamy’s Step2,900g,,900,100,1,0,89,89,0,http://52.63.10.86:8080/image/Bellamys_2_3.jpg,Bellamy,http://52.63.10.86:8080/image/Bellamys_2_3.jpg,0,488
26,3,S26一段 （3罐）S26 Gold Step1,900g,,900,100,1,0,74,74,0,http://52.63.10.86:8080/image/S26step1_3.jpg,S26,http://52.63.10.86:8080/image/S26step1_3.jpg,0,98
1002,20,代购帮补差价专用,0,NULL,1,10000,NULL,NULL,0.5,0.5,0,,DaigouHelper,0,NULL,10000000
28,3,S26二段 （3罐）S26 Gold Step2,900g,,900,100,1,0,74,74,0,http://52.63.10.86:8080/image/S26step2_3.jpg,S26,http://52.63.10.86:8080/image/S26step2_3.jpg,0,100
